iter	RMSE
0	692.1090699
1	682.407544
2	671.8738759
3	661.1754669
4	650.6203259
5	640.3681484
6	630.2944372
7	620.5421742
8	610.8354807
9	601.467813
10	592.3806073
11	583.3839622
12	574.6069465
13	566.1587033
14	557.8093159
15	549.6784797
16	541.8455277
17	534.0019531
18	526.3690971
19	518.912469
20	511.693945
21	504.6679363
22	497.7563553
23	491.0505917
24	484.3969109
25	477.9611236
26	471.8521159
27	465.8015815
28	459.907656
29	454.1222894
30	448.4827573
31	442.9732577
32	437.7055369
33	432.5026812
34	427.4148186
35	422.4668431
36	417.4549252
37	412.7492024
38	408.1426048
39	403.6247643
40	399.2790414
41	395.0654297
42	390.9482321
43	386.8907885
44	382.9818568
45	379.1501941
46	375.3954934
47	371.6645302
48	367.9731915
49	364.3871475
50	360.4124489
51	356.665598
52	353.1855374
53	349.9307659
54	346.6700448
55	343.6140121
56	340.5282919
57	337.6422207
58	334.7925831
59	331.6342495
60	328.9408538
61	325.9524575
62	323.4574644
63	320.8413414
64	318.5930014
65	316.3728879
66	314.0153036
67	311.7941188
68	309.3560257
69	306.7099626
70	304.5220688
71	301.8983815
72	299.0955862
73	296.3141929
74	293.9079608
75	291.5952703
76	289.0649256
77	286.599725
78	284.1459497
79	281.6264278
80	279.2977578
81	277.6216244
82	276.045713
83	273.8976262
84	271.6986649
85	269.5931307
86	267.5915214
87	265.7991272
88	263.5904952
89	261.6622514
90	260.0006245
91	258.2636077
92	256.2083908
93	254.7324407
94	253.2698228
95	251.620561
96	250.1620262
97	248.8583707
98	247.5652472
99	245.9084348
100	244.4673681
101	243.3603677
102	242.0375283
103	240.9596881
104	239.5910319
105	238.3945262
106	237.2919744
107	236.0313004
108	235.092897
109	234.2315267
110	232.8250758
111	231.9731312
112	230.8552289
113	229.885571
114	228.8438655
115	227.8694448
116	226.8534598
117	225.5697171
118	224.0927473
119	223.179835
120	221.9697326
121	220.9175407
122	219.2576444
123	217.7880047
124	216.1696748
125	214.4930353
126	213.1108706
127	211.6041833
128	210.0724061
129	208.644296
130	207.1147811
131	205.7531067
132	204.4533204
133	203.1412742
134	201.9643176
135	200.5913842
136	199.4668749
137	198.3940192
138	197.1193906
139	195.8228701
140	194.6285864
141	193.6358606
142	192.4803344
143	191.3498813
144	190.264522
145	189.1745708
146	187.9215651
147	187.0998604
148	186.0800693
149	185.3063257
150	184.3377586
151	183.1288517
152	181.8040487
153	180.4795658
154	179.2831382
155	178.0387625
156	176.8958695
157	175.7803213
158	174.699233
159	173.6154732
160	172.4744267
161	171.4515564
162	170.4271668
163	169.5510209
164	168.5935889
165	167.7134195
166	166.802928
167	165.9314576
168	165.0997873
