iter	Passed	Remaining
0	165	331552
1	237	237072
2	285	189888
3	340	169757
4	391	156267
5	440	146399
6	487	138819
7	541	134715
8	603	133468
9	669	133269
10	734	132766
11	791	131178
12	840	128506
13	886	125732
14	927	122710
15	968	120092
16	1023	119369
17	1077	118681
18	1133	118147
19	1199	118737
20	1273	119986
21	1321	118810
22	1382	118815
23	1431	117868
24	1494	118026
25	1549	117674
26	1603	117204
27	1651	116321
28	1710	116287
29	1763	115832
30	1821	115711
31	1885	115939
32	1957	116669
33	2023	117008
34	2079	116774
35	2135	116498
36	2199	116717
37	2258	116621
38	2320	116656
39	2372	116228
40	2421	115715
41	2466	114966
42	2513	114415
43	2557	113674
44	2601	113004
45	2647	112440
46	2693	111917
47	2739	111407
48	2775	110513
49	2817	109866
50	2861	109356
51	2904	108807
52	2945	108222
53	2988	107685
54	3026	107026
55	3068	106504
56	3108	105957
57	3147	105373
58	3186	104844
59	3228	104378
60	3256	103522
61	3298	103098
62	3337	102608
63	3382	102319
64	3430	102120
65	3470	101684
66	3513	101356
67	3558	101095
68	3598	100719
69	3639	100335
70	3670	99710
71	3713	99428
72	3756	99154
73	3791	98691
74	3827	98227
75	3866	97873
76	3907	97588
77	3947	97282
78	3993	97096
79	4033	96798
80	4077	96607
81	4115	96273
82	4153	95938
83	4195	95697
84	4232	95349
85	4272	95099
86	4316	94923
87	4358	94700
88	4401	94516
89	4449	94419
90	4499	94391
91	4540	94161
92	4579	93902
93	4618	93645
94	4656	93384
95	4697	93173
96	4744	93085
97	4787	92920
98	4832	92801
99	4869	92520
100	4909	92310
101	4951	92137
102	4988	91880
103	5030	91709
104	5074	91574
105	5110	91321
106	5151	91138
107	5194	90997
108	5237	90859
109	5263	90442
110	5307	90319
111	5348	90155
112	5390	90013
113	5431	89864
114	5481	89847
115	5529	89810
116	5575	89724
117	5614	89545
118	5650	89316
119	5691	89159
120	5731	89006
121	5771	88847
122	5813	88714
123	5856	88600
124	5895	88427
125	5935	88275
126	5976	88136
127	6017	87999
128	6061	87911
129	6103	87795
130	6143	87650
131	6194	87663
132	6247	87693
133	6294	87647
134	6340	87586
135	6386	87528
136	6436	87526
137	6485	87509
138	6533	87476
139	6592	87584
140	6638	87521
141	6686	87488
142	6741	87539
143	6794	87569
144	6841	87528
145	6885	87438
146	6928	87333
147	6969	87211
148	7011	87098
149	7052	86986
150	7094	86867
151	7135	86757
152	7174	86611
153	7214	86483
154	7257	86381
155	7298	86271
156	7334	86102
157	7378	86023
158	7423	85957
159	7463	85830
160	7504	85714
161	7546	85615
162	7591	85552
163	7633	85461
164	7677	85378
165	7717	85263
166	7756	85137
167	7793	84989
168	7837	84910
169	7877	84798
170	7913	84637
171	7957	84567
172	8000	84489
173	8041	84390
174	8082	84289
175	8119	84144
176	8161	84054
177	8203	83971
178	8244	83876
179	8284	83762
180	8326	83674
181	8362	83533
182	8402	83424
183	8442	83328
184	8490	83295
185	8531	83203
186	8567	83066
187	8603	82927
188	8647	82858
189	8691	82799
190	8740	82780
191	8778	82665
192	8815	82537
193	8856	82449
194	8900	82389
195	8945	82338
196	8987	82255
197	9030	82186
198	9068	82069
199	9109	81988
200	9153	81921
201	9193	81827
202	9236	81760
203	9276	81666
204	9317	81584
205	9358	81503
206	9400	81423
207	9437	81310
208	9482	81256
209	9529	81230
210	9574	81175
211	9610	81054
212	9652	80985
213	9689	80865
214	9740	80871
215	9787	80834
216	9825	80732
217	9864	80631
218	9901	80525
219	9947	80485
220	9988	80405
221	10023	80281
222	10058	80154
223	10098	80065
224	10136	79968
225	10169	79829
226	10210	79749
227	10254	79693
228	10292	79594
229	10332	79518
230	10378	79479
231	10419	79404
232	10456	79298
233	10498	79229
234	10538	79151
235	10579	79074
236	10616	78970
237	10657	78901
238	10699	78838
239	10735	78730
240	10776	78653
241	10833	78698
242	10878	78654
243	10919	78583
244	10963	78535
245	11013	78523
246	11061	78507
247	11098	78402
248	11141	78347
249	11179	78253
250	11218	78174
251	11257	78087
252	11298	78016
253	11340	77951
254	11382	77891
255	11420	77801
256	11460	77723
257	11495	77615
258	11531	77516
259	11568	77422
260	11608	77348
261	11649	77277
262	11687	77192
263	11727	77115
264	11763	77019
265	11804	76948
266	11847	76899
267	11901	76913
268	11945	76869
269	11981	76768
270	12031	76762
271	12073	76704
272	12109	76607
273	12154	76563
274	12189	76461
275	12225	76364
276	12264	76288
277	12301	76198
278	12337	76100
279	12375	76020
280	12414	75941
281	12449	75842
282	12486	75758
283	12529	75705
284	12570	75641
285	12610	75574
286	12647	75490
287	12689	75434
288	12726	75343
289	12766	75279
290	12791	75121
291	12845	75134
292	12865	74955
293	12881	74750
294	12947	74830
295	12985	74752
296	13031	74725
297	13081	74711
298	13126	74678
299	13138	74453
300	13145	74202
301	13184	74129
302	13190	73873
303	13225	73786
304	13263	73712
305	13305	73656
306	13327	73497
307	13338	73274
308	13350	73058
309	13387	72982
310	13395	72747
311	13400	72501
312	13407	72265
313	13421	72064
314	13463	72021
315	13505	71971
316	13523	71796
317	13560	71725
318	13569	71508
319	13575	71271
320	13584	71052
321	13591	70826
322	13630	70770
323	13646	70589
324	13688	70550
325	13729	70501
326	13735	70272
327	13743	70059
328	13785	70017
329	13800	69836
330	13838	69779
331	13844	69555
332	13850	69336
333	13894	69306
334	13915	69162
335	13923	68954
336	13940	68791
337	13957	68631
338	14007	68631
339	14048	68587
340	14061	68411
341	14069	68207
342	14115	68191
343	14137	68054
344	14171	67979
345	14178	67776
346	14213	67708
347	14225	67530
348	14264	67482
349	14308	67453
350	14349	67411
351	14356	67214
352	14367	67035
353	14406	66985
354	14417	66807
355	14435	66662
356	14474	66617
357	14483	66430
358	14497	66268
359	14533	66209
360	14541	66020
361	14566	65912
362	14604	65859
363	14616	65692
364	14632	65544
365	14639	65358
366	14683	65335
367	14728	65317
368	14739	65148
369	14751	64988
370	14789	64936
371	14794	64747
372	14807	64590
373	14817	64420
374	14824	64239
375	14864	64200
376	14869	64015
377	14879	63850
378	14921	63821
379	14959	63773
380	14973	63625
381	15024	63637
382	15035	63478
383	15085	63483
384	15091	63305
385	15102	63148
386	15128	63055
387	15143	62915
388	15150	62743
389	15168	62619
390	15183	62479
391	15198	62343
392	15205	62175
393	15218	62031
394	15258	62001
395	15264	61828
396	15302	61788
397	15311	61631
398	15318	61465
399	15330	61321
400	15337	61159
401	15379	61134
402	15415	61086
403	15430	60956
404	15467	60915
405	15510	60895
406	15546	60847
407	15556	60702
408	15570	60569
409	15607	60526
410	15650	60505
411	15667	60389
412	15677	60242
413	15714	60199
414	15747	60144
415	15783	60099
416	15797	59971
417	15832	59919
418	15867	59870
419	15879	59737
420	15913	59685
421	15919	59527
422	15931	59394
423	15947	59278
424	15961	59149
425	15979	59043
426	15988	58898
427	16024	58857
428	16036	58726
429	16058	58631
430	16106	58635
431	16149	58615
432	16160	58483
433	16199	58453
434	16208	58312
435	16218	58178
436	16233	58063
437	16244	57932
438	16261	57821
439	16267	57677
440	16302	57632
441	16308	57485
442	16343	57443
443	16377	57394
444	16390	57272
445	16395	57127
446	16434	57098
447	16442	56961
448	16450	56825
449	16487	56790
450	16494	56651
451	16501	56514
452	16508	56377
453	16517	56246
454	16560	56234
455	16595	56192
456	16633	56162
457	16677	56148
458	16716	56122
459	16731	56015
460	16769	55982
461	16777	55851
462	16788	55733
463	16830	55716
464	16839	55589
465	16850	55469
466	16863	55355
467	16868	55219
468	16909	55199
469	16931	55118
470	16968	55083
471	16979	54966
472	16992	54855
473	17034	54841
474	17079	54833
475	17094	54730
476	17145	54742
477	17169	54670
478	17213	54658
479	17252	54633
480	17270	54541
481	17282	54429
482	17321	54404
483	17331	54287
484	17368	54253
485	17408	54232
486	17451	54218
487	17474	54143
488	17492	54050
489	17527	54014
490	17566	53986
491	17599	53944
492	17615	53848
493	17657	53829
494	17700	53816
495	17727	53754
496	17766	53727
497	17803	53695
498	17821	53608
499	17840	53520
500	17880	53499
501	17920	53475
502	17962	53459
503	18001	53432
504	18007	53308
505	18015	53190
506	18030	53095
507	18067	53063
508	18107	53040
509	18119	52936
510	18150	52889
511	18195	52880
512	18242	52878
513	18288	52873
514	18330	52854
515	18364	52814
516	18370	52696
517	18416	52689
518	18440	52620
519	18479	52596
520	18507	52538
521	18549	52521
522	18589	52497
523	18599	52392
524	18614	52296
525	18648	52258
526	18656	52147
527	18692	52111
528	18701	52002
529	18708	51889
530	18746	51860
531	18789	51848
532	18836	51843
533	18879	51831
534	18921	51812
535	18956	51776
536	18998	51760
537	19007	51651
538	19052	51642
539	19088	51609
540	19130	51591
541	19148	51509
542	19187	51484
543	19228	51465
544	19281	51476
545	19325	51464
546	19334	51357
547	19381	51354
548	19424	51337
549	19431	51229
550	19468	51197
551	19506	51168
552	19544	51139
553	19564	51064
554	19575	50966
555	19587	50870
556	19599	50774
557	19606	50667
558	19641	50631
559	19679	50603
560	19724	50594
561	19768	50580
562	19777	50481
563	19793	50396
564	19834	50377
565	19875	50355
566	19884	50256
567	19922	50226
568	19932	50129
569	19942	50030
570	19962	49958
571	20005	49943
572	20042	49914
573	20087	49903
574	20128	49884
575	20167	49859
576	20204	49828
577	20213	49729
578	20227	49643
579	20236	49545
580	20285	49545
581	20298	49456
582	20318	49385
583	20358	49363
584	20395	49332
585	20405	49238
586	20442	49207
587	20478	49175
588	20494	49097
589	20536	49077
590	20570	49041
591	20612	49023
592	20621	48928
593	20654	48888
594	20690	48858
595	20732	48839
596	20772	48817
597	20786	48732
598	20825	48708
599	20835	48615
600	20845	48522
601	20892	48518
602	20913	48450
603	20948	48417
604	20982	48382
605	20997	48302
606	21038	48280
607	21055	48206
608	21092	48176
609	21099	48078
610	21111	47994
611	21144	47955
612	21183	47931
613	21199	47854
614	21209	47763
615	21246	47736
616	21283	47706
617	21299	47631
618	21341	47613
619	21363	47551
620	21415	47556
621	21460	47544
622	21473	47461
623	21489	47386
624	21498	47295
625	21508	47208
626	21516	47115
627	21526	47029
628	21545	46962
629	21589	46949
630	21597	46857
631	21634	46829
632	21654	46765
633	21691	46736
634	21725	46701
635	21733	46611
636	21768	46578
637	21811	46562
638	21829	46495
639	21843	46417
640	21863	46352
641	21882	46287
642	21945	46315
643	21983	46287
644	22028	46277
645	22044	46204
646	22083	46180
647	22124	46160
648	22160	46131
649	22183	46073
650	22219	46043
651	22255	46013
652	22292	45984
653	22335	45968
654	22376	45949
655	22389	45871
656	22399	45786
657	22434	45754
658	22479	45743
659	22496	45673
660	22538	45656
661	22577	45632
662	22617	45609
663	22660	45593
664	22704	45579
665	22760	45590
666	22800	45565
667	22840	45545
668	22885	45530
669	22927	45513
670	22966	45487
671	23004	45460
672	23039	45428
673	23086	45418
674	23099	45342
675	23135	45312
676	23173	45286
677	23213	45262
678	23245	45224
679	23284	45198
680	23321	45171
681	23357	45140
682	23405	45131
683	23443	45105
684	23496	45107
685	23539	45087
686	23579	45064
687	23620	45043
688	23629	44961
689	23667	44934
690	23679	44856
691	23716	44828
692	23763	44818
693	23802	44792
694	23817	44721
695	23861	44706
696	23899	44678
697	23938	44652
698	23953	44582
699	23971	44518
700	23983	44443
701	23990	44359
702	24027	44329
703	24066	44304
704	24083	44239
705	24126	44220
706	24166	44197
707	24208	44177
708	24248	44153
709	24287	44128
710	24331	44111
711	24374	44094
712	24409	44060
713	24450	44039
714	24493	44019
715	24528	43987
716	24580	43984
717	24626	43970
718	24664	43944
719	24706	43922
720	24745	43896
721	24788	43877
722	24828	43852
723	24869	43831
724	24905	43800
725	24950	43784
726	24992	43762
727	25035	43743
728	25077	43722
729	25120	43702
730	25163	43683
731	25208	43667
732	25248	43643
733	25288	43617
734	25329	43595
735	25370	43571
736	25402	43532
737	25433	43491
738	25478	43475
739	25519	43451
740	25574	43452
741	25629	43452
742	25678	43442
743	25692	43372
744	25730	43344
745	25772	43322
746	25788	43256
747	25828	43231
748	25871	43211
749	25911	43186
750	25951	43160
751	25962	43086
752	26004	43065
753	26044	43039
754	26086	43017
755	26125	42989
756	26166	42966
757	26204	42935
758	26224	42877
759	26267	42856
760	26303	42824
761	26345	42802
762	26369	42750
763	26410	42726
764	26426	42662
765	26468	42640
766	26509	42616
767	26522	42547
768	26560	42517
769	26597	42487
770	26648	42479
771	26693	42461
772	26708	42394
773	26754	42377
774	26797	42356
775	26839	42333
776	26883	42314
777	26905	42260
778	26946	42235
779	26984	42206
780	27020	42174
781	27060	42147
782	27097	42116
783	27138	42092
784	27182	42072
785	27221	42044
786	27260	42016
787	27282	41962
788	27319	41932
789	27360	41906
790	27396	41873
791	27438	41850
792	27478	41824
793	27520	41800
794	27540	41744
795	27581	41719
796	27618	41687
797	27636	41628
798	27678	41604
799	27735	41603
800	27778	41581
801	27817	41552
802	27860	41530
803	27900	41504
804	27940	41477
805	27979	41448
806	28018	41420
807	28058	41393
808	28091	41355
809	28127	41322
810	28165	41293
811	28199	41256
812	28235	41224
813	28274	41195
814	28307	41158
815	28350	41135
816	28388	41106
817	28428	41079
818	28446	41019
819	28485	40991
820	28501	40929
821	28540	40901
822	28579	40872
823	28621	40848
824	28661	40821
825	28699	40790
826	28717	40732
827	28732	40669
828	28778	40650
829	28823	40630
830	28864	40604
831	28902	40574
832	28916	40511
833	28954	40480
834	28990	40448
835	29031	40421
836	29043	40355
837	29054	40288
838	29095	40261
839	29128	40225
840	29142	40161
841	29178	40129
842	29190	40063
843	29228	40033
844	29265	40002
845	29282	39942
846	29320	39913
847	29362	39888
848	29400	39858
849	29435	39824
850	29476	39798
851	29513	39766
852	29554	39740
853	29577	39690
854	29612	39656
